                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.81479,                0.54052,                 1.0641,                0.99602,                0.99722,                0.99499,                 0.8354,                0.67387,                0.32587,                0.95841,              0.0077032,              0.0077032,              0.0077032
                    118,                0.80724,                 0.5337,                 1.0527,                0.99648,                0.99877,                  0.995,                0.84254,                0.64823,                0.31646,                0.95445,              0.0076834,              0.0076834,              0.0076834
                    119,                0.80025,                0.53323,                  1.047,                 0.9971,                0.99862,                  0.995,                 0.8427,                0.65135,                0.31409,                0.95154,              0.0076636,              0.0076636,              0.0076636
                    120,                0.79813,                0.52651,                 1.0358,                 0.9962,                0.99896,                  0.995,                 0.8522,                0.62492,                0.31345,                0.93333,              0.0076438,              0.0076438,              0.0076438
                    121,                0.80622,                0.51651,                 1.0484,                0.99585,                 0.9981,                  0.995,                0.82868,                0.69585,                0.32148,                 0.9733,               0.007624,               0.007624,               0.007624
                    122,                0.79281,                0.51823,                 1.0451,                 0.9952,                0.99851,                  0.995,                0.85035,                0.62644,                0.31161,                0.93475,              0.0076042,              0.0076042,              0.0076042
                    123,                0.78088,                0.51039,                 1.0404,                0.99544,                0.99639,                0.99495,                0.86092,                0.59028,                0.30408,                0.92028,              0.0075844,              0.0075844,              0.0075844
                    124,                0.76295,                0.51038,                 1.0347,                0.99439,                0.99677,                0.99477,                0.84517,                0.64483,                0.31966,                0.94766,              0.0075646,              0.0075646,              0.0075646
                    125,                0.78711,                0.52034,                 1.0363,                0.99651,                0.99831,                  0.995,                0.85471,                0.61615,                0.30095,                0.92897,              0.0075448,              0.0075448,              0.0075448
                    126,                0.78398,                0.52359,                 1.0441,                0.99577,                0.99754,                  0.995,                0.85255,                0.62042,                0.31232,                0.93389,               0.007525,               0.007525,               0.007525
                    127,                 0.7736,                0.50743,                 1.0379,                0.99668,                0.99807,                0.99498,                0.85899,                0.60085,                 0.3001,                0.92129,              0.0075052,              0.0075052,              0.0075052
                    128,                0.76754,                0.50512,                 1.0291,                0.99626,                0.99801,                  0.995,                0.86282,                0.58236,                 0.2986,                  0.912,              0.0074854,              0.0074854,              0.0074854
                    129,                0.76725,                0.49772,                 1.0272,                0.99645,                0.99809,                  0.995,                0.86256,                0.58698,                0.29355,                0.91346,              0.0074656,              0.0074656,              0.0074656
                    130,                0.75951,                0.50553,                 1.0316,                0.99514,                0.99925,                  0.995,                 0.8588,                0.60195,                0.30373,                 0.9206,              0.0074458,              0.0074458,              0.0074458
                    131,                0.75205,                0.50421,                 1.0206,                0.99644,                0.99813,                  0.995,                0.86376,                0.58389,                0.29268,                0.91126,               0.007426,               0.007426,               0.007426
                    132,                0.75626,                0.50159,                 1.0263,                0.99608,                0.99853,                  0.995,                0.85962,                0.59035,                0.29228,                0.91231,              0.0074062,              0.0074062,              0.0074062
                    133,                0.74584,                 0.4864,                  1.021,                0.99684,                0.99717,                  0.995,                0.86525,                0.58302,                0.29595,                0.90789,              0.0073864,              0.0073864,              0.0073864
                    134,                0.74397,                0.49994,                 1.0204,                0.99615,                0.99879,                  0.995,                0.86639,                0.57788,                0.29375,                 0.9049,              0.0073666,              0.0073666,              0.0073666
                    135,                0.74627,                0.49644,                 1.0237,                0.99511,                0.99877,                  0.995,                0.86399,                0.58328,                0.30047,                0.91447,              0.0073468,              0.0073468,              0.0073468
                    136,                 0.7423,                0.49737,                  1.016,                0.99685,                0.99884,                  0.995,                0.85612,                0.60646,                0.29979,                0.92598,               0.007327,               0.007327,               0.007327
                    137,                  0.743,                 0.4925,                 1.0136,                0.99606,                0.99862,                  0.995,                 0.8694,                 0.5642,                 0.2866,                 0.9005,              0.0073072,              0.0073072,              0.0073072
                    138,                0.72949,                 0.4938,                 1.0155,                0.99686,                0.99849,                  0.995,                0.87588,                0.54004,                 0.2835,                0.88838,              0.0072874,              0.0072874,              0.0072874
                    139,                0.73164,                0.50266,                 1.0167,                0.99689,                0.99898,                  0.995,                0.87551,                0.54388,                 0.2825,                0.89242,              0.0072676,              0.0072676,              0.0072676
                    140,                0.72165,                0.48156,                 1.0136,                0.99664,                0.99889,                  0.995,                0.87751,                0.53529,                0.27706,                0.88864,              0.0072478,              0.0072478,              0.0072478
                    141,                 0.7356,                    0.5,                 1.0187,                0.99687,                0.99933,                  0.995,                0.87529,                0.54246,                 0.2774,                0.88423,               0.007228,               0.007228,               0.007228
                    142,                0.72678,                0.48035,                 1.0027,                0.99682,                0.99937,                  0.995,                0.87759,                0.54103,                0.28045,                0.88565,              0.0072082,              0.0072082,              0.0072082
                    143,                0.73193,                0.49177,                 1.0107,                0.99618,                0.99754,                  0.995,                0.88219,                 0.5236,                0.27836,                0.87685,              0.0071884,              0.0071884,              0.0071884
                    144,                0.71605,                0.48141,                 1.0025,                0.99592,                 0.9984,                  0.995,                 0.8808,                0.53356,                0.27316,                0.88321,              0.0071686,              0.0071686,              0.0071686
                    145,                0.71681,                0.48542,                 1.0131,                0.99622,                0.99775,                  0.995,                0.87576,                0.54542,                 0.2775,                0.88304,              0.0071488,              0.0071488,              0.0071488
                    146,                0.70849,                 0.4756,                0.99869,                0.99502,                0.99797,                  0.995,                0.88144,                0.52878,                0.27775,                0.87653,               0.007129,               0.007129,               0.007129
                    147,                0.72255,                0.49101,                 1.0009,                0.99659,                0.99695,                  0.995,                 0.8701,                0.56478,                 0.2832,                0.88992,              0.0071092,              0.0071092,              0.0071092
                    148,                0.71951,                0.48655,                 1.0036,                0.99682,                0.99925,                  0.995,                 0.8838,                  0.522,                0.27486,                0.87214,              0.0070894,              0.0070894,              0.0070894
                    149,                0.70659,                0.48514,                 1.0069,                0.99652,                0.99729,                  0.995,                0.88269,                0.52295,                0.27694,                0.87672,              0.0070696,              0.0070696,              0.0070696
                    150,                0.70877,                0.47991,                 1.0004,                0.99659,                 0.9991,                  0.995,                 0.8873,                0.51208,                0.27346,                0.86973,              0.0070498,              0.0070498,              0.0070498
                    151,                0.70188,                0.47236,                0.99996,                0.99603,                0.99871,                  0.995,                0.89164,                0.49464,                0.26567,                 0.8633,                0.00703,                0.00703,                0.00703
